nodo,lat,lon,adyacentes
266954463,-12.2216864,-76.9749233,"4060113096:73.57:-12.2221947:-76.9744899,9251675010:221.75:-12.2199733:-76.9756416"
266954485,-12.2426179,-76.9429833,"10687019529:64.76:-12.2428912:-76.942457,4865537235:32.83:-12.2426124:-76.9426932,4284575917:2987.48:-12.2297946:-76.9671025"
289313690,-12.2122254,-76.9756697,"1674225361:266.37:-12.2126274:-76.9732535,6157596447:251.27:-12.2144484:-76.9760848,3790348963:706.33:-12.2059713:-76.9745322"
472560569,-12.2285931,-76.9123736,"1752177871:27.36:-12.2288212:-76.9124679,11054416497:95.66:-12.2289453:-76.9115705"
943248214,-12.2207006,-76.9492394,"3744254936:20.39:-12.2205423:-76.9493341,1701819742:455.5:-12.2186648:-76.9456023"
943248221,-12.2103328,-76.931874,"3792763315:11.44:-12.2103863:-76.9319639,1405168738:622.07:-12.2055997:-76.9348221,6611284926:36.45:-12.2106147:-76.9317028"
943248268,-12.2130224,-76.9538549,"4149643673:11.42:-12.2129357:-76.9539113,1675047207:57.06:-12.2127589:-76.9534044"
943248669,-12.2234081,-76.9597511,"11038557806:84.06:-12.2235821:-76.959055,2465762629:38.46:-12.2236932:-76.9599515"
943248671,-12.2247883,-76.956775,"4711675544:8.78:-12.2248469:-76.9567209,2465762607:32.53:-12.2250399:-76.9569278,2465762615:114.97:-12.2243263:-76.9577163"
943248828,-12.2157063,-76.95223,"1675341835:54.85:-12.215456:-76.9517951,1674266632:46.03:-12.2153504:-76.9524464"
943248930,-12.2060321,-76.9356274,"1405168771:17.3:-12.2059401:-76.935499,1273786985:54.24:-12.2064524:-76.9353741"
943248946,-12.2040594,-76.9330071,"1727538323:88.76:-12.2044639:-76.9337112,3749285404:361.29:-12.2057247:-76.9358319"
943248952,-12.2130049,-76.9483784,"1404104189:9.04:-12.2130464:-76.9484499,4152129024:54.05:-12.2125816:-76.9486228"
1273449138,-12.2246028,-76.9305266,"1404083910:49.33:-12.2243749:-76.9301372,1273802742:49.34:-12.2248307:-76.9309162,1709508381:50.25:-12.2242146:-76.9307634"
1273449976,-12.2384201,-76.9223472,"1273462838:92.04:-12.2377058:-76.9227752,1712258380:34.79:-12.2386228:-76.9225911,1712258377:10.56:-12.2383569:-76.9222747"
1273450466,-12.1902115,-76.9565909,"1273894096:49.01:-12.1899892:-76.9562015,3344060507:49.41:-12.1904279:-76.956988,5446267841:65.39:-12.190724:-76.9562958,1723414997:96.82:-12.1894537:-76.9570297"
1273451353,-12.2214055,-76.9296943,"1273974376:49.73:-12.2217917:-76.9294636,5436376563:45.79:-12.2210499:-76.9299068,1709508294:49.32:-12.2211867:-76.9292995"
1273454052,-12.1963374,-76.9513183,"5432464017:47.97:-12.1961101:-76.9509432,5432464018:47.75:-12.1967058:-76.9510926,1657677650:51.63:-12.1959391:-76.9515624"
1273454600,-12.2404318,-76.9214976,"5438641445:45.2:-12.240698:-76.9218119,1273682941:39.99:-12.2401962:-76.9212196,1712241089:47.2:-12.2407547:-76.9212156"
1273454918,-12.1893193,-76.9550136,"5460585614:103.71:-12.1901054:-76.9545,1723414989:97.79:-12.1885491:-76.955448,1273685444:48.76:-12.1895439:-76.9553989,1723414987:142.35:-12.1883454:-76.9550917"
1273455155,-12.2064083,-76.9397769,"1572825489:50.23:-12.2060189:-76.9400111,1572825609:47.64:-12.2066246:-76.9401553,4370478284:49.12:-12.2067891:-76.9395479"
1273455159,-12.2285674,-76.9143431,"1754049865:35.91:-12.2286862:-76.9140358,1754049829:49.4:-12.2281547:-76.9141749,4439912570:46.35:-12.2289547:-76.9145009,1754049851:42.21:-12.2284278:-76.9147043"
1273456078,-12.2111821,-76.9619766,"3749398724:313.67:-12.2136119:-76.9605104,5134101378:315.16:-12.2097511:-76.9594735"
1273456961,-12.2023575,-76.9487823,"1657677799:51.67:-12.2019566:-76.9490226,5432474874:49.62:-12.202585:-76.9491751,1657677816:61.73:-12.2028365:-76.9484952"
1273458557,-12.2105652,-76.9487325,"1273566329:48.44:-12.2109407:-76.9485066,5433696740:50.66:-12.2107911:-76.9491373,4149643663:49.43:-12.210182:-76.9489631"
1273458569,-12.2432522,-76.922247,"1273593039:47.92:-12.2429229:-76.9225314,1711041621:10.55:-12.2431876:-76.9221759,4370545145:119.67:-12.2439775:-76.9230606"
1273461229,-12.2336135,-76.9160971,"1273823803:26.78:-12.2334898:-76.9158857,1273803656:42.53:-12.2339461:-76.9159039,1572590354:45.0:-12.233265:-76.9163077,1572591482:120.31:-12.2341692:-76.917047"
1273462403,-12.1995614,-76.9504599,"5432469148:49.21:-12.1993369:-76.9500697,1657677760:52.22:-12.1999663:-76.9502164,1273979162:47.56:-12.1991926:-76.9506815"
1273462827,-12.2283819,-76.9287876,"1273803693:56.25:-12.2288205:-76.9285296,4370536300:47.39:-12.2280124:-76.929005,1273503388:50.21:-12.2281519:-76.92839"
1273462838,-12.2377058,-76.9227752,"1273449976:92.04:-12.2384201:-76.9223472,1712258362:126.22:-12.2367263:-76.9233622,5438633960:56.4:-12.2374551:-76.922324,1712258374:43.06:-12.2379023:-76.9231167"
1273462902,-12.2095476,-76.9433788,"1273974701:51.36:-12.2091493:-76.9436181,1572825717:49.45:-12.2093212:-76.9429872,1572825677:53.71:-12.2099641:-76.9431286"
1273462906,-12.2440781,-76.9223323,"1711041656:46.28:-12.2444375:-76.9221175,4370545148:67.13:-12.2437682:-76.9218021,1711041630:46.61:-12.2442955:-76.922699"
1273463089,-12.2213183,-76.931332,"5436376566:100.76:-12.2221019:-76.9308663,1273553285:48.92:-12.2210961:-76.9309435,1709508305:50.34:-12.221547:-76.9317318"
1273463163,-12.2250184,-76.9639101,"3717321694:112.21:-12.2249576:-76.9628794,1273675680:88.53:-12.2250731:-76.9647228,1273517979:340.18:-12.222496:-76.9656806,3717320344:131.32:-12.2259441:-76.96316"
1273463267,-12.2089399,-76.9497132,"1273535368:49.01:-12.2091646:-76.9501011,1273879319:50.82:-12.2093335:-76.9494755,1273696242:48.97:-12.2085607:-76.9499423"
